name,year,value,code,rate,pop,,
New Hampshire,1998,0.00000485520955893658,33,6,1235786,,
New Jersey,1998,0.00005514389109081510,34,464,8414350,,
New Mexico,1998,0.00001264399031140500,35,23,1819046,,
New York,1998,0.00000284563129987858,36,54,18976457,,
North Carolina,1998,0.00011541357628905700,37,929,8049313,,
North Dakota,1998,0.00034880099657427600,38,224,642200,,
Ohio,1998,0.00000149738310282442,39,17,11353140,,
Oklahoma,1998,0.00007071123329084860,40,244,3450654,,
Oregon,1998,0.00002601275092440260,41,89,3421399,,
Pennsylvania,1998,0.00000016285247178296,42,2,12281054,,
Rhode Island,1998,0.00000000000000000000,44,0,1048319,,
South Carolina,1998,0.00028040793497128100,45,1125,4012012,,
South Dakota,1998,0.00003179464896057990,46,24,754844,,
Tennessee,1998,0.00014641563796351800,47,833,5689283,,
Texas,1998,0.00001879931823696920,48,392,20851820,,
Utah,1998,0.00000582132386756220,49,13,2233169,,
Vermont,1998,0.00000164250271423574,50,1,608827,,
Virginia,1998,0.00003122123778786930,51,221,7078515,,
Washington,1998,0.00000950099259923575,53,56,5894121,,
West Virginia,1998,0.00016589763894480300,54,300,1808344,,
Wisconsin,1998,0.00002666082490083760,55,143,5363675,,
Wyoming,1998,0.00000202518520318683,56,1,493782,,
Alabama,1999,0.00052573587281599200,1,2338,4447100,,
Arizona,1999,0.00003157505741982660,4,162,5130632,,
Arkansas,1999,0.00030822174010623200,5,824,2673400,,
California,1999,0.00003153079531294140,6,1068,33871648,,
Colorado,1999,0.00000302236948652965,8,13,4301261,,
Connecticut,1999,0.00002349096258623750,9,80,3405565,,
Delaware,1999,0.00000127616130678918,10,1,783600,,
District of Columbia,1999,0.00000000000000000000,11,0,572059,,
Florida,1999,0.00000719542486105635,12,115,15982378,,
Georgia,1999,0.00023074706469334200,13,1889,8186453,,
Idaho,1999,0.00002782172149993080,16,36,1293953,,
Illinois,1999,0.00000128831810313196,17,16,12419293,,
Indiana,1999,0.00000213798734804872,18,13,6080485,,
Iowa,1999,0.00000034172565990642,19,1,2926324,,
Kansas,1999,0.00000074393193320384,20,2,2688418,,
Kentucky,1999,0.00028947720663897400,21,1170,4041769,,
Louisiana,1999,0.00013828671266079700,22,618,4468976,,
Maine,1999,0.00000078436109474847,23,1,1274923,,
Maryland,1999,0.00000207684868797916,24,11,5296486,,
Massachusetts,1999,0.00000000000000000000,25,0,6349097,,
Michigan,1999,0.00000090557435349035,26,9,9938444,,
Minnesota,1999,0.00009635166650777450,27,474,4919479,,
Mississippi,1999,0.00103773458883282000,28,2952,2844658,,
Missouri,1999,0.00007417057194089730,29,415,5595211,,
Montana,1999,0.00011527441406791200,30,104,902195,,
Nebraska,1999,0.00000116872742529933,31,2,1711263,,
Nevada,1999,0.00002051788133358220,32,41,1998257,,
New Hampshire,1999,0.00000000000000000000,33,0,1235786,,
New Jersey,1999,0.00007106906653514530,34,598,8414350,,
New Mexico,1999,0.00001979059353089480,35,36,1819046,,
New York,1999,0.00000637632198676497,36,121,18976457,,
North Carolina,1999,0.00008497619610518310,37,684,8049313,,
North Dakota,1999,0.00042665836188103400,38,274,642200,,
Ohio,1999,0.00000193778989777277,39,22,11353140,,
Oklahoma,1999,0.00011099345225571700,40,383,3450654,,
Oregon,1999,0.00001724440791617700,41,59,3421399,,
Pennsylvania,1999,0.00000073283612302332,42,9,12281054,,
Rhode Island,1999,0.00000000000000000000,44,0,1048319,,
South Carolina,1999,0.00041973952221478900,45,1684,4012012,,
South Dakota,1999,0.00005696541272103900,46,43,754844,,
Tennessee,1999,0.00025205285094800200,47,1434,5689283,,
Texas,1999,0.00001731263745802520,48,361,20851820,,
Utah,1999,0.00001746397160268660,49,39,2233169,,
Vermont,1999,0.00000000000000000000,50,0,608827,,
Virginia,1999,0.00003884995652336680,51,275,7078515,,
Washington,1999,0.00000610778095665155,53,36,5894121,,
West Virginia,1999,0.00039428338855881400,54,713,1808344,,
Wisconsin,1999,0.00002759302157569200,55,148,5363675,,
Wyoming,1999,0.00000810074081274732,56,4,493782,,
Alabama,2000,0.00062220323356794300,1,2767,4447100,,
Arizona,2000,0.00003605793594239460,4,185,5130632,,
Arkansas,2000,0.00037106306575895900,5,992,2673400,,
California,2000,0.00002444522333250510,6,828,33871648,,
Colorado,2000,0.00000302236948652965,8,13,4301261,,
Connecticut,2000,0.00000939638503449501,9,32,3405565,,
Delaware,2000,0.00000000000000000000,10,0,783600,,
District of Columbia,2000,0.00000000000000000000,11,0,572059,,
Florida,2000,0.00000932276786345561,12,149,15982378,,
Georgia,2000,0.00020961459132544900,13,1716,8186453,,
Idaho,2000,0.00002859454709715110,16,37,1293953,,
Illinois,2000,0.00000072467893301173,17,9,12419293,,
Indiana,2000,0.00000345367186992485,18,21,6080485,,
Iowa,2000,0.00000136690263962569,19,4,2926324,,
Kansas,2000,0.00000111589789980576,20,3,2688418,,
Kentucky,2000,0.00025013799650598500,21,1011,4041769,,
Louisiana,2000,0.00020183594631074300,22,902,4468976,,
Maine,2000,0.00000078436109474847,23,1,1274923,,
Maryland,2000,0.00000113282655707954,24,6,5296486,,
Massachusetts,2000,0.00000000000000000000,25,0,6349097,,
Michigan,2000,0.00000050309686305019,26,5,9938444,,
Minnesota,2000,0.00013863256657869700,27,682,4919479,,
Mississippi,2000,0.00054945093575396400,28,1563,2844658,,
Missouri,2000,0.00003824699372373980,29,214,5595211,,
Montana,2000,0.00006761287748214080,30,61,902195,,
Nebraska,2000,0.00000409054598854764,31,7,1711263,,
Nevada,2000,0.00000450392517078634,32,9,1998257,,
New Hampshire,2000,0.00000485520955893658,33,6,1235786,,
New Jersey,2000,0.00004575516825423240,34,385,8414350,,
New Mexico,2000,0.00004837700640885390,35,88,1819046,,
New York,2000,0.00001802233156589770,36,342,18976457,,
North Carolina,2000,0.00011628321572288200,37,936,8049313,,
North Dakota,2000,0.00053721582061663000,38,345,642200,,
Ohio,2000,0.00000140930174383475,39,16,11353140,,
Oklahoma,2000,0.00009418504434231890,40,325,3450654,,
Oregon,2000,0.00002542819472385420,41,87,3421399,,
Pennsylvania,2000,0.00000008142623589148,42,1,12281054,,
Rhode Island,2000,0.00000000000000000000,44,0,1048319,,
South Carolina,2000,0.00035269086931943400,45,1415,4012012,,
South Dakota,2000,0.00004106808824074910,46,31,754844,,
Tennessee,2000,0.00021232904040808000,47,1208,5689283,,
Texas,2000,0.00002599293490927890,48,542,20851820,,
Utah,2000,0.00001209044187878300,49,27,2233169,,
Vermont,2000,0.00000000000000000000,50,0,608827,,
Virginia,2000,0.00003051487494199000,51,216,7078515,,
Washington,2000,0.00000831336852433128,53,49,5894121,,
West Virginia,2000,0.00023336267878235600,54,422,1808344,,
Wisconsin,2000,0.00002815233958060470,55,151,5363675,,
Wyoming,2000,0.00001417629642230780,56,7,493782,,
Alabama,2001,0.00035056553709158800,1,1559,4447100,,
Arizona,2001,0.00004950657151009860,4,254,5130632,,
Arkansas,2001,0.00017468392309418700,5,467,2673400,,
California,2001,0.00002810610218906380,6,952,33871648,,
Colorado,2001,0.00000092995984200912,8,4,4301261,,
Connecticut,2001,0.00001615003677803830,9,55,3405565,,
Delaware,2001,0.00000127616130678918,10,1,783600,,
District of Columbia,2001,0.00000000000000000000,11,0,572059,,
Florida,2001,0.00001007359480547890,12,161,15982378,,
Georgia,2001,0.00020851521409821800,13,1707,8186453,,
Idaho,2001,0.00002627607030549020,16,34,1293953,,
Illinois,2001,0.00000104675845879472,17,13,12419293,,
Indiana,2001,0.00000279582960898678,18,17,6080485,,
Iowa,2001,0.00000034172565990642,19,1,2926324,,
Kansas,2001,0.00000000000000000000,20,0,2688418,,
Kentucky,2001,0.00035677447177213700,21,1442,4041769,,
Louisiana,2001,0.00007138100540257990,22,319,4468976,,
Maine,2001,0.00000156872218949693,23,2,1274923,,
Maryland,2001,0.00000264326196651893,24,14,5296486,,
Massachusetts,2001,0.00000031500542518094,25,2,6349097,,
Michigan,2001,0.00000684211733748261,26,68,9938444,,
Minnesota,2001,0.00007419484868214700,27,365,4919479,,
Mississippi,2001,0.00041094570946665600,28,1169,2844658,,
Missouri,2001,0.00004539596451322390,29,254,5595211,,
Montana,2001,0.00004322790527546710,30,39,902195,,
Nebraska,2001,0.00000058436371264966,31,1,1711263,,
Nevada,2001,0.00000750654195131057,32,15,1998257,,
New Hampshire,2001,0.00000323680637262439,33,4,1235786,,
New Jersey,2001,0.00007510978269266190,34,632,8414350,,
